INDICATOR|CODE
population in thousand, 45-64, female, secondary|MYS_POP_4564_SEC_FE
population in thousand, 45-64, female, tertiary|MYS_POP_4564_TER_FE
population in thousand, 45-64, male, no education|MYS_POP_4564_NED_MA
population in thousand, 45-64, male, primary|MYS_POP_4564_PRI_MA
population in thousand, 45-64, male, secondary|MYS_POP_4564_SEC_MA
population in thousand, 45-64, male, tertiary|MYS_POP_4564_TER_MA
population in thousand, 45-64, total, no education|MYS_POP_4564_NED_MF
population in thousand, 45-64, total, primary|MYS_POP_4564_PRI_MF
population in thousand, 45-64, total, secondary|MYS_POP_4564_SEC_MF
population in thousand, 45-64, total, tertiary|MYS_POP_4564_TER_MF
population in thousand, 50-54, female, no education|MYS_POP_5054_NED_FE
population in thousand, 50-54, female, primary|MYS_POP_5054_PRI_FE
population in thousand, 50-54, female, secondary|MYS_POP_5054_SEC_FE
population in thousand, 50-54, female, tertiary|MYS_POP_5054_TER_FE
population in thousand, 50-54, male, no education|MYS_POP_5054_NED_MA
population in thousand, 50-54, male, primary|MYS_POP_5054_PRI_MA
population in thousand, 50-54, male, secondary|MYS_POP_5054_SEC_MA
population in thousand, 50-54, male, tertiary|MYS_POP_5054_TER_MA
population in thousand, 50-54, total, no education|MYS_POP_5054_NED_MF
population in thousand, 50-54, total, primary|MYS_POP_5054_PRI_MF
population in thousand, 50-54, total, secondary|MYS_POP_5054_SEC_MF
population in thousand, 50-54, total, tertiary|MYS_POP_5054_TER_MF
population in thousand, 55-59, female, no education|MYS_POP_5559_NED_FE
population in thousand, 55-59, female, primary|MYS_POP_5559_PRI_FE
population in thousand, 55-59, female, secondary|MYS_POP_5559_SEC_FE
population in thousand, 55-59, female, tertiary|MYS_POP_5559_TER_FE
population in thousand, 55-59, male, no education|MYS_POP_5559_NED_MA
population in thousand, 55-59, male, primary|MYS_POP_5559_PRI_MA
population in thousand, 55-59, male, secondary|MYS_POP_5559_SEC_MA
population in thousand, 55-59, male, tertiary|MYS_POP_5559_TER_MA
population in thousand, 55-59, total, no education|MYS_POP_5559_NED_MF
population in thousand, 55-59, total, primary|MYS_POP_5559_PRI_MF
population in thousand, 55-59, total, secondary|MYS_POP_5559_SEC_MF
population in thousand, 55-59, total, tertiary|MYS_POP_5559_TER_MF
population in thousand, 60-64, female, no education|MYS_POP_6064_NED_FE
population in thousand, 60-64, female, primary|MYS_POP_6064_PRI_FE
population in thousand, 60-64, female, secondary|MYS_POP_6064_SEC_FE
population in thousand, 60-64, female, tertiary|MYS_POP_6064_TER_FE
population in thousand, 60-64, male, no education|MYS_POP_6064_NED_MA
population in thousand, 60-64, male, primary|MYS_POP_6064_PRI_MA
population in thousand, 60-64, male, secondary|MYS_POP_6064_SEC_MA
population in thousand, 60-64, male, tertiary|MYS_POP_6064_TER_MA
population in thousand, 60-64, total, no education|MYS_POP_6064_NED_MF
population in thousand, 60-64, total, primary|MYS_POP_6064_PRI_MF
population in thousand, 60-64, total, secondary|MYS_POP_6064_SEC_MF
population in thousand, 60-64, total, tertiary|MYS_POP_6064_TER_MF
population in thousand, 65-69, female, no education|MYS_POP_6569_NED_FE
population in thousand, 65-69, female, primary|MYS_POP_6569_PRI_FE
population in thousand, 65-69, female, secondary|MYS_POP_6569_SEC_FE
population in thousand, 65-69, female, tertiary|MYS_POP_6569_TER_FE
population in thousand, 65-69, male, no education|MYS_POP_6569_NED_MA
population in thousand, 65-69, male, primary|MYS_POP_6569_PRI_MA
population in thousand, 65-69, male, secondary|MYS_POP_6569_SEC_MA
population in thousand, 65-69, male, tertiary|MYS_POP_6569_TER_MA
population in thousand, 65-69, total, no education|MYS_POP_6569_NED_MF
population in thousand, 65-69, total, primary|MYS_POP_6569_PRI_MF
population in thousand, 65-69, total, secondary|MYS_POP_6569_SEC_MF
population in thousand, 65-69, total, tertiary|MYS_POP_6569_TER_MF
population in thousand, 65+, female, no education|MYS_POP_65UP_NED_FE
population in thousand, 65+, female, primary|MYS_POP_65UP_PRI_FE
population in thousand, 65+, female, secondary|MYS_POP_65UP_SEC_FE
population in thousand, 65+, female, tertiary|MYS_POP_65UP_TER_FE
population in thousand, 65+, male, no education|MYS_POP_65UP_NED_MA
population in thousand, 65+, male, primary|MYS_POP_65UP_PRI_MA
population in thousand, 65+, male, secondary|MYS_POP_65UP_SEC_MA
population in thousand, 65+, male, tertiary|MYS_POP_65UP_TER_MA
population in thousand, 65+, total, no education|MYS_POP_65UP_NED_MF
population in thousand, 65+, total, primary|MYS_POP_65UP_PRI_MF
population in thousand, 65+, total, secondary|MYS_POP_65UP_SEC_MF
population in thousand, 65+, total, tertiary|MYS_POP_65UP_TER_MF
population in thousand, 70-74, female, no education|MYS_POP_7074_NED_FE
population in thousand, 70-74, female, primary|MYS_POP_7074_PRI_FE
population in thousand, 70-74, female, secondary|MYS_POP_7074_SEC_FE
population in thousand, 70-74, female, tertiary|MYS_POP_7074_TER_FE
population in thousand, 70-74, male, no education|MYS_POP_7074_NED_MA
population in thousand, 70-74, male, primary|MYS_POP_7074_PRI_MA
population in thousand, 70-74, male, secondary|MYS_POP_7074_SEC_MA
population in thousand, 70-74, male, tertiary|MYS_POP_7074_TER_MA
population in thousand, 70-74, total, no education|MYS_POP_7074_NED_MF
population in thousand, 70-74, total, primary|MYS_POP_7074_PRI_MF
population in thousand, 70-74, total, secondary|MYS_POP_7074_SEC_MF
population in thousand, 70-74, total, tertiary|MYS_POP_7074_TER_MF
population in thousand, 75-79, female, no education|MYS_POP_7579_NED_FE
population in thousand, 75-79, female, primary|MYS_POP_7579_PRI_FE
population in thousand, 75-79, female, secondary|MYS_POP_7579_SEC_FE
population in thousand, 75-79, female, tertiary|MYS_POP_7579_TER_FE
population in thousand, 75-79, male, no education|MYS_POP_7579_NED_MA
population in thousand, 75-79, male, primary|MYS_POP_7579_PRI_MA
population in thousand, 75-79, male, secondary|MYS_POP_7579_SEC_MA
population in thousand, 75-79, male, tertiary|MYS_POP_7579_TER_MA
population in thousand, 75-79, total, no education|MYS_POP_7579_NED_MF
population in thousand, 75-79, total, primary|MYS_POP_7579_PRI_MF
population in thousand, 75-79, total, secondary|MYS_POP_7579_SEC_MF
population in thousand, 75-79, total, tertiary|MYS_POP_7579_TER_MF
population in thousand, 80+, female, no education|MYS_POP_80UP_NED_FE
population in thousand, 80+, female, primary|MYS_POP_80UP_PRI_FE
population in thousand, 80+, female, secondary|MYS_POP_80UP_SEC_FE
population in thousand, 80+, female, tertiary|MYS_POP_80UP_TER_FE
population in thousand, 80+, male, no education|MYS_POP_80UP_NED_MA
population in thousand, 80+, male, primary|MYS_POP_80UP_PRI_MA
population in thousand, 80+, male, secondary|MYS_POP_80UP_SEC_MA
population in thousand, 80+, male, tertiary|MYS_POP_80UP_TER_MA
population in thousand, 80+, total, no education|MYS_POP_80UP_NED_MF
population in thousand, 80+, total, primary|MYS_POP_80UP_PRI_MF
population in thousand, 80+, total, secondary|MYS_POP_80UP_SEC_MF
population in thousand, 80+, total, tertiary|MYS_POP_80UP_TER_MF
population in thousands (age 15+), 15-19, female|BAR_POP_1519_FE
population in thousands (age 15+), 15-19, total|BAR_POP_1519
population in thousands (age 15+), 15+, female|BAR_POP_15UP_FE
population in thousands (age 15+), 15+, total|BAR_POP_15UP
population in thousands (age 15+), 20-24, female|BAR_POP_2024_FE
population in thousands (age 15+), 20-24, total|BAR_POP_2024
population in thousands (age 15+), 25-29, female|BAR_POP_2529_FE
population in thousands (age 15+), 25-29, total|BAR_POP_2529
population in thousands (age 15+), 25+, female|BAR_POP_25UP_FE
population in thousands (age 15+), 25+, total|BAR_POP_25UP
population in thousands (age 15+), 30-34, female|BAR_POP_3034_FE
population in thousands (age 15+), 30-34, total|BAR_POP_3034
population in thousands (age 15+), 35-39, female|BAR_POP_3539_FE
population in thousands (age 15+), 35-39, total|BAR_POP_3539
population in thousands (age 15+), 40-44, female|BAR_POP_4044_FE
population in thousands (age 15+), 40-44, total|BAR_POP_4044
population in thousands (age 15+), 45-49, female|BAR_POP_4549_FE
population in thousands (age 15+), 45-49, total|BAR_POP_4549
population in thousands (age 15+), 50-54, female|BAR_POP_5054_FE
population in thousands (age 15+), 50-54, total|BAR_POP_5054
population in thousands (age 15+), 55-59, female|BAR_POP_5559_FE
population in thousands (age 15+), 55-59, total|BAR_POP_5559
population in thousands (age 15+), 60-64, female|BAR_POP_6064_FE
population in thousands (age 15+), 60-64, total|BAR_POP_6064
population in thousands (age 15+), 65-69, female|BAR_POP_6569_FE
population in thousands (age 15+), 65-69, total|BAR_POP_6569
population in thousands (age 15+), 70-74, female|BAR_POP_7074_FE
population in thousands (age 15+), 70-74, total|BAR_POP_7074
population in thousands (age 15+), 75+, female|BAR_POP_75UP_FE
population in thousands (age 15+), 75+, total|BAR_POP_75UP
Population, aged  0, female|SP_POP_AG00_FE_UN
Population, aged  0, male|SP_POP_AG00_MA_UN
Population, aged  0, total|SP_POP_AG00_TO_UN
Population, aged  1, female|SP_POP_AG01_FE_UN
Population, aged  1, male|SP_POP_AG01_MA_UN
Population, aged  1, total|SP_POP_AG01_TO_UN
Population, aged  2, female|SP_POP_AG02_FE_UN
Population, aged  2, male|SP_POP_AG02_MA_UN
Population, aged  2, total|SP_POP_AG02_TO_UN
Population, aged  3, female|SP_POP_AG03_FE_UN
Population, aged  3, male|SP_POP_AG03_MA_UN
Population, aged  3, total|SP_POP_AG03_TO_UN
Population, aged  4, female|SP_POP_AG04_FE_UN
Population, aged  4, male|SP_POP_AG04_MA_UN
Population, aged  4, total|SP_POP_AG04_TO_UN
Population, aged  5, female|SP_POP_AG05_FE_UN
Population, aged  5, male|SP_POP_AG05_MA_UN
Population, aged  5, total|SP_POP_AG05_TO_UN
Population, aged  6, female|SP_POP_AG06_FE_UN
Population, aged  6, male|SP_POP_AG06_MA_UN
Population, aged  6, total|SP_POP_AG06_TO_UN
Population, aged  7, female|SP_POP_AG07_FE_UN
Population, aged  7, male|SP_POP_AG07_MA_UN
Population, aged  7, total|SP_POP_AG07_TO_UN
Population, aged  8, female|SP_POP_AG08_FE_UN
Population, aged  8, male|SP_POP_AG08_MA_UN
Population, aged  8, total|SP_POP_AG08_TO_UN
Population, aged  9, female|SP_POP_AG09_FE_UN
Population, aged  9, male|SP_POP_AG09_MA_UN
Population, aged  9, total|SP_POP_AG09_TO_UN
Population, aged 10-14, female|SP_POP_1014_FE_UN
Population, aged 10-14, male|SP_POP_1014_MA_UN
Population, aged 10-14, total|SP_POP_1014_TO_UN
Population, aged 10-15, female|SP_POP_1015_FE_UN
Population, aged 10-15, male|SP_POP_1015_MA_UN
Population, aged 10-15, total|SP_POP_1015_TO_UN
Population, aged 10-16, female|SP_POP_1016_FE_UN
Population, aged 10-16, male|SP_POP_1016_MA_UN
Population, aged 10-16, total|SP_POP_1016_TO_UN
Population, aged 10-17, female|SP_POP_1017_FE_UN
Population, aged 10-17, male|SP_POP_1017_MA_UN
Population, aged 10-17, total|SP_POP_1017_TO_UN
Population, aged 10-18, female|SP_POP_1018_FE_UN
Population, aged 10-18, male|SP_POP_1018_MA_UN
Population, aged 10-18, total|SP_POP_1018_TO_UN
Population, aged 10, female|SP_POP_AG10_FE_UN
Population, aged 10, male|SP_POP_AG10_MA_UN
Population, aged 10, total|SP_POP_AG10_TO_UN
Population, aged 11-15, female|SP_POP_1115_FE_UN
Population, aged 11-15, male|SP_POP_1115_MA_UN
Population, aged 11-15, total|SP_POP_1115_TO_UN
Population, aged 11-16, female|SP_POP_1116_FE_UN
Population, aged 11-16, male|SP_POP_1116_MA_UN
Population, aged 11-16, total|SP_POP_1116_TO_UN
Population, aged 11-17, female|SP_POP_1117_FE_UN
Population, aged 11-17, male|SP_POP_1117_MA_UN
Population, aged 11-17, total|SP_POP_1117_TO_UN
Population, aged 11-18, female|SP_POP_1118_FE_UN
Population, aged 11-18, male|SP_POP_1118_MA_UN
Population, aged 11-18, total|SP_POP_1118_TO_UN
Population, aged 11, female|SP_POP_AG11_FE_UN
Population, aged 11, male|SP_POP_AG11_MA_UN
Population, aged 11, total|SP_POP_AG11_TO_UN
Population, aged 12-15, female|SP_POP_1215_FE_UN
Population, aged 12-15, male|SP_POP_1215_MA_UN
Population, aged 12-15, total|SP_POP_1215_TO_UN
Population, aged 12-16, female|SP_POP_1216_FE_UN
Population, aged 12-16, male|SP_POP_1216_MA_UN
Population, aged 12-16, total|SP_POP_1216_TO_UN
Population, aged 12-17, female|SP_POP_1217_FE_UN
Population, aged 12-17, male|SP_POP_1217_MA_UN
Population, aged 12-17, total|SP_POP_1217_TO_UN
Population, aged 12-18, female|SP_POP_1218_FE_UN
Population, aged 12-18, male|SP_POP_1218_MA_UN
Population, aged 12-18, total|SP_POP_1218_TO_UN
Population, aged 12, female|SP_POP_AG12_FE_UN
Population, aged 12, male|SP_POP_AG12_MA_UN
Population, aged 12, total|SP_POP_AG12_TO_UN
Population, aged 13-16, female|SP_POP_1316_FE_UN
Population, aged 13-16, male|SP_POP_1316_MA_UN
Population, aged 13-16, total|SP_POP_1316_TO_UN
Population, aged 13-17, female|SP_POP_1317_FE_UN
Population, aged 13-17, male|SP_POP_1317_MA_UN
Population, aged 13-17, total|SP_POP_1317_TO_UN
Population, aged 13-18, female|SP_POP_1318_FE_UN
Population, aged 13-18, male|SP_POP_1318_MA_UN
Population, aged 13-18, total|SP_POP_1318_TO_UN
Population, aged 13-19, female|SP_POP_1319_FE_UN
Population, aged 13-19, male|SP_POP_1319_MA_UN
Population, aged 13-19, total|SP_POP_1319_TO_UN
Population, aged 13, female|SP_POP_AG13_FE_UN
Population, aged 13, male|SP_POP_AG13_MA_UN
Population, aged 13, total|SP_POP_AG13_TO_UN
Population, aged 14-18, female|SP_POP_1418_FE_UN
Population, aged 14-18, male|SP_POP_1418_MA_UN
Population, aged 14-18, total|SP_POP_1418_TO_UN
Population, aged 14-19, female|SP_POP_1419_FE_UN
Population, aged 14-19, male|SP_POP_1419_MA_UN
Population, aged 14-19, total|SP_POP_1419_TO_UN
Population, aged 14, female|SP_POP_AG14_FE_UN
Population, aged 14, male|SP_POP_AG14_MA_UN
Population, aged 14, total|SP_POP_AG14_TO_UN
Population, aged 15-24, female|SP_POP_1524_FE_UN
Population, aged 15-24, male|SP_POP_1524_MA_UN
Population, aged 15-24, total|SP_POP_1524_TO_UN
Population, aged 15, female|SP_POP_AG15_FE_UN
Population, aged 15, male|SP_POP_AG15_MA_UN
Population, aged 15, total|SP_POP_AG15_TO_UN
Population, aged 16, female|SP_POP_AG16_FE_UN
Population, aged 16, male|SP_POP_AG16_MA_UN
Population, aged 16, total|SP_POP_AG16_TO_UN
Population, aged 17, female|SP_POP_AG17_FE_UN
Population, aged 17, male|SP_POP_AG17_MA_UN
Population, aged 17, total|SP_POP_AG17_TO_UN
Population, aged 18, female|SP_POP_AG18_FE_UN
Population, aged 18, male|SP_POP_AG18_MA_UN
Population, aged 18, total|SP_POP_AG18_TO_UN
Population, aged 19, female|SP_POP_AG19_FE_UN
Population, aged 19, male|SP_POP_AG19_MA_UN
Population, aged 19, total|SP_POP_AG19_TO_UN
Population, aged 20, female|SP_POP_AG20_FE_UN
Population, aged 20, male|SP_POP_AG20_MA_UN
Population, aged 20, total|SP_POP_AG20_TO_UN
Population, aged 21, female|SP_POP_AG21_FE_UN
Population, aged 21, male|SP_POP_AG21_MA_UN
Population, aged 21, total|SP_POP_AG21_TO_UN
Population, aged 22, female|SP_POP_AG22_FE_UN
Population, aged 22, male|SP_POP_AG22_MA_UN
Population, aged 22, total|SP_POP_AG22_TO_UN
Population, aged 23, female|SP_POP_AG23_FE_UN
Population, aged 23, male|SP_POP_AG23_MA_UN
Population, aged 23, total|SP_POP_AG23_TO_UN
Population, aged 24, female|SP_POP_AG24_FE_UN
Population, aged 24, male|SP_POP_AG24_MA_UN
Population, aged 24, total|SP_POP_AG24_TO_UN
Population, aged 25, female|SP_POP_AG25_FE_UN
Population, aged 25, male|SP_POP_AG25_MA_UN
Population, aged 25, total|SP_POP_AG25_TO_UN
Population, aged 3- 5, female|SP_POP_0305_FE_UN
Population, aged 3- 5, male|SP_POP_0305_MA_UN
Population, aged 3- 5, total|SP_POP_0305_TO_UN
Population, aged 4- 6, female|SP_POP_0406_FE_UN
Population, aged 4- 6, male|SP_POP_0406_MA_UN
Population, aged 4- 6, total|SP_POP_0406_TO_UN
Population, aged 5- 9, female|SP_POP_0509_FE_UN
Population, aged 5- 9, male|SP_POP_0509_MA_UN
Population, aged 5- 9, total|SP_POP_0509_TO_UN
Population, aged 5-10, female|SP_POP_0510_FE_UN
Population, aged 5-10, male|SP_POP_0510_MA_UN
Population, aged 5-10, total|SP_POP_0510_TO_UN
Population, aged 5-11, female|SP_POP_0511_FE_UN
Population, aged 5-11, male|SP_POP_0511_MA_UN
Population, aged 5-11, total|SP_POP_0511_TO_UN
Population, aged 6- 9, male|SP_POP_0609_MA_UN
Population, aged 6- 9, total|SP_POP_0609_TO_UN
Population, aged 6- 9,female|SP_POP_0609_FE_UN
Population, aged 6-10, female|SP_POP_0610_FE_UN
Population, aged 6-10, male|SP_POP_0610_MA_UN
Population, aged 6-10, total|SP_POP_0610_TO_UN
Population, aged 6-11, female|SP_POP_0611_FE_UN
Population, aged 6-11, male|SP_POP_0611_MA_UN
Population, aged 6-11, total|SP_POP_0611_TO_UN
Population, aged 6-12, female|SP_POP_0612_FE_UN
Population, aged 6-12, male|SP_POP_0612_MA_UN
Population, aged 6-12, total|SP_POP_0612_TO_UN
Population, aged 7- 9, female|SP_POP_0709_FE_UN
Population, aged 7- 9, male|SP_POP_0709_MA_UN
Population, aged 7- 9, total|SP_POP_0709_TO_UN
Population, aged 7-10, female|SP_POP_0710_FE_UN
Population, aged 7-10, male|SP_POP_0710_MA_UN
Population, aged 7-10, total|SP_POP_0710_TO_UN
Population, aged 7-11, female|SP_POP_0711_FE_UN
Population, aged 7-11, male|SP_POP_0711_MA_UN
Population, aged 7-11, total|SP_POP_0711_TO_UN
Population, aged 7-12, female|SP_POP_0712_FE_UN
Population, aged 7-12, male|SP_POP_0712_MA_UN
Population, aged 7-12, total|SP_POP_0712_TO_UN
Population, aged 7-13, female|SP_POP_0713_FE_UN
Population, aged 7-13, male|SP_POP_0713_MA_UN
Population, aged 7-13, total|SP_POP_0713_TO_UN
Population, low secondary, female|SP_SEC_LTOT_FE_IN
Population, low secondary, male|SP_SEC_LTOT_MA_IN
Population, low secondary, total|SP_SEC_LTOT_IN
Population, pre-primary, female|SP_PRE_TOTL_FE_IN
Population, pre-primary, male|SP_PRE_TOTL_MA_IN
Population, pre-primary, total|SP_PRE_TOTL_IN
Population, primary, female|SP_PRM_TOTL_FE_IN
Population, primary, male|SP_PRM_TOTL_MA_IN
Population, primary, total|SP_PRM_TOTL_IN
Population, secondary, female|SP_SEC_TOTL_FE_IN
Population, secondary, male|SP_SEC_TOTL_MA_IN
Population, secondary, total|SP_SEC_TOTL_IN
Population, tertiary, female|SP_TER_TOTL_FE_IN
Population, tertiary, male|SP_TER_TOTL_MA_IN
Population, tertiary, total|SP_TER_TOTL_IN
Population, upper secondary, female|SP_SEC_UTOT_FE_IN
Population, upper secondary, male|SP_SEC_UTOT_MA_IN
Population, upper secondary, total|SP_SEC_UTOT_IN
primary completion rate, female|GER_PRI_CMPT_FE
primary completion rate, male|GER_PRI_CMPT_MA
primary completion rate, total|GER_PRI_CMPT_TOT
Private enrollment share (%), tertiary|SE_TER_PRIV_ZS
proportion, 15-19, female, no education|MYS_PROP_1519_NED_FE
proportion, 15-19, female, primary|MYS_PROP_1519_PRI_FE
proportion, 15-19, female, secondary|MYS_PROP_1519_SEC_FE
proportion, 15-19, female, tertiary|MYS_PROP_1519_TER_FE
proportion, 15-19, male, no education|MYS_PROP_1519_NED_MA
proportion, 15-19, male, primary|MYS_PROP_1519_PRI_MA
proportion, 15-19, male, secondary|MYS_PROP_1519_SEC_MA
proportion, 15-19, male, tertiary|MYS_PROP_1519_TER_MA
proportion, 15-19, total, no education|MYS_PROP_1519_NED_MF
proportion, 15-19, total, primary|MYS_PROP_1519_PRI_MF
proportion, 15-19, total, secondary|MYS_PROP_1519_SEC_MF
proportion, 15-19, total, tertiaryr|MYS_PROP_1519_TER_MF
proportion, 15-44, female, no education|MYS_PROP_1544_NED_FE
proportion, 15-44, female, primary|MYS_PROP_1544_PRI_FE
proportion, 15-44, female, secondary|MYS_PROP_1544_SEC_FE
proportion, 15-44, female, tertiary|MYS_PROP_1544_TER_FE
proportion, 15-44, male, no education|MYS_PROP_1544_NED_MA
proportion, 15-44, male, primary|MYS_PROP_1544_PRI_MA
proportion, 15-44, male, secondary|MYS_PROP_1544_SEC_MA
proportion, 15-44, male, tertiary|MYS_PROP_1544_TER_MA
proportion, 15-44, total, no education|MYS_PROP_1544_NED_MF
proportion, 15-44, total, primary|MYS_PROP_1544_PRI_MF
proportion, 15-44, total, secondary|MYS_PROP_1544_SEC_MF
proportion, 15-44, total, tertiary|MYS_PROP_1544_TER_MF
proportion, 15-64, female, no education|MYS_PROP_1564_NED_FE
proportion, 15-64, female, primary|MYS_PROP_1564_PRI_FE
proportion, 15-64, female, secondary|MYS_PROP_1564_SEC_FE
proportion, 15-64, female, tertiary|MYS_PROP_1564_TER_FE
proportion, 15-64, male, no education|MYS_PROP_1564_NED_MA
proportion, 15-64, male, primary|MYS_PROP_1564_PRI_MA
proportion, 15-64, male, secondary|MYS_PROP_1564_SEC_MA
proportion, 15-64, male, tertiary|MYS_PROP_1564_TER_MA
proportion, 15-64, total, no education|MYS_PROP_1564_NED_MF
proportion, 15-64, total, primary|MYS_PROP_1564_PRI_MF
proportion, 15-64, total, secondary|MYS_PROP_1564_SEC_MF
proportion, 15-64, total, tertiary|MYS_PROP_1564_TER_MF
proportion, 15+, female, no education|MYS_PROP_15UP_NED_FE
proportion, 15+, female, primary|MYS_PROP_15UP_PRI_FE
proportion, 15+, female, secondary|MYS_PROP_15UP_SEC_FE
proportion, 15+, female, tertiary|MYS_PROP_15UP_TER_FE
proportion, 15+, male, no education|MYS_PROP_15UP_NED_MA
proportion, 15+, male, primary|MYS_PROP_15UP_PRI_MA
proportion, 15+, male, secondary|MYS_PROP_15UP_SEC_MA
proportion, 15+, male, tertiary|MYS_PROP_15UP_TER_MA
proportion, 15+, total, no education|MYS_PROP_15UP_NED_MF
proportion, 15+, total, primary|MYS_PROP_15UP_PRI_MF
proportion, 15+, total, secondary|MYS_PROP_15UP_SEC_MF
proportion, 15+, total, tertiary|MYS_PROP_15UP_TER_MF
proportion, 20 - 24, female, no education|MYS_PROP_2024_NED_FE
proportion, 20 - 24, female, primary|MYS_PROP_2024_PRI_FE
proportion, 20 - 24, female, secondary|MYS_PROP_2024_SEC_FE
proportion, 20 - 24, female, tertiary|MYS_PROP_2024_TER_FE
proportion, 20 - 24, male, no education|MYS_PROP_2024_NED_MA
proportion, 20 - 24, male, primary|MYS_PROP_2024_PRI_MA
proportion, 20 - 24, male, secondary|MYS_PROP_2024_SEC_MA
proportion, 20 - 24, male, tertiary|MYS_PROP_2024_TER_MA
proportion, 20 - 24, total, no education|MYS_PROP_2024_NED_MF
proportion, 20 - 24, total, primary|MYS_PROP_2024_PRI_MF
proportion, 20 - 24, total, secondary|MYS_PROP_2024_SEC_MF
proportion, 20 - 24, total, tertiary|MYS_PROP_2024_TER_MF
proportion, 25 - 29, female, no education|MYS_PROP_2529_NED_FE
proportion, 25 - 29, female, primary|MYS_PROP_2529_PRI_FE
proportion, 25 - 29, female, secondary|MYS_PROP_2529_SEC_FE
proportion, 25 - 29, female, tertiary|MYS_PROP_2529_TER_FE
proportion, 25 - 29, male, no education|MYS_PROP_2529_NED_MA
proportion, 25 - 29, male, primary|MYS_PROP_2529_PRI_MA
proportion, 25 - 29, male, secondary|MYS_PROP_2529_SEC_MA
proportion, 25 - 29, male, tertiary|MYS_PROP_2529_TER_MA
proportion, 25 - 29, total, no education|MYS_PROP_2529_NED_MF
proportion, 25 - 29, total, primary|MYS_PROP_2529_PRI_MF
proportion, 25 - 29, total, secondary|MYS_PROP_2529_SEC_MF
proportion, 25 - 29, total, tertiary|MYS_PROP_2529_TER_MF
proportion, 25+, female, no education|MYS_PROP_25UP_NED_FE
proportion, 25+, female, primary|MYS_PROP_25UP_PRI_FE
proportion, 25+, female, secondary|MYS_PROP_25UP_SEC_FE
proportion, 25+, female, tertiary|MYS_PROP_25UP_TER_FE
proportion, 25+, male, no education|MYS_PROP_25UP_NED_MA
proportion, 25+, male, primary|MYS_PROP_25UP_PRI_MA
proportion, 25+, male, secondary|MYS_PROP_25UP_SEC_MA
proportion, 25+, male, tertiary|MYS_PROP_25UP_TER_MA
proportion, 25+, total, no education|MYS_PROP_25UP_NED_MF
proportion, 25+, total, primary|MYS_PROP_25UP_PRI_MF
proportion, 25+, total, secondary|MYS_PROP_25UP_SEC_MF
proportion, 25+, total, tertiary|MYS_PROP_25UP_TER_MF
proportion, 30 - 34, female, no education|MYS_PROP_3034_NED_FE
proportion, 30 - 34, female, primary|MYS_PROP_3034_PRI_FE
proportion, 30 - 34, female, secondary|MYS_PROP_3034_SEC_FE
proportion, 30 - 34, female, tertiary|MYS_PROP_3034_TER_FE
proportion, 30 - 34, male, no education|MYS_PROP_3034_NED_MA
proportion, 30 - 34, male, primary|MYS_PROP_3034_PRI_MA
proportion, 30 - 34, male, secondary|MYS_PROP_3034_SEC_MA
proportion, 30 - 34, male, tertiary|MYS_PROP_3034_TER_MA
proportion, 30 - 34, total, no education|MYS_PROP_3034_NED_MF
proportion, 30 - 34, total, primary|MYS_PROP_3034_PRI_MF
proportion, 30 - 34, total, secondary|MYS_PROP_3034_SEC_MF
proportion, 30 - 34, total, tertiary|MYS_PROP_3034_TER_MF
proportion, 35-39, female, no education|MYS_PROP_3539_NED_FE
proportion, 35-39, female, primary|MYS_PROP_3539_PRI_FE
proportion, 35-39, female, secondary|MYS_PROP_3539_SEC_FE
proportion, 35-39, female, tertiary|MYS_PROP_3539_TER_FE
proportion, 35-39, male, no education|MYS_PROP_3539_NED_MA
proportion, 35-39, male, primary|MYS_PROP_3539_PRI_MA
proportion, 35-39, male, secondary|MYS_PROP_3539_SEC_MA
proportion, 35-39, male, tertiary|MYS_PROP_3539_TER_MA
proportion, 35-39, total, no education|MYS_PROP_3539_NED_MF
proportion, 35-39, total, primary|MYS_PROP_3539_PRI_MF
proportion, 35-39, total, secondary|MYS_PROP_3539_SEC_MF
proportion, 35-39, total, tertiary|MYS_PROP_3539_TER_MF
proportion, 40-44, female, no education|MYS_PROP_4044_NED_FE
proportion, 40-44, female, primary|MYS_PROP_4044_PRI_FE
proportion, 40-44, female, secondary|MYS_PROP_4044_SEC_FE
proportion, 40-44, female, tertiary|MYS_PROP_4044_TER_FE
proportion, 40-44, male, no education|MYS_PROP_4044_NED_MA
proportion, 40-44, male, primary|MYS_PROP_4044_PRI_MA
proportion, 40-44, male, secondary|MYS_PROP_4044_SEC_MA
proportion, 40-44, male, tertiary|MYS_PROP_4044_TER_MA
proportion, 40-44, total, no education|MYS_PROP_4044_NED_MF
proportion, 40-44, total, primary|MYS_PROP_4044_PRI_MF
proportion, 40-44, total, secondary|MYS_PROP_4044_SEC_MF
proportion, 40-44, total, tertiary|MYS_PROP_4044_TER_MF
proportion, 45-49, female, no education|MYS_PROP_4549_NED_FE
proportion, 45-49, female, primary|MYS_PROP_4549_PRI_FE
proportion, 45-49, female, secondary|MYS_PROP_4549_SEC_FE
proportion, 45-49, female, tertiary|MYS_PROP_4549_TER_FE
proportion, 45-49, male, no education|MYS_PROP_4549_NED_MA
proportion, 45-49, male, primary|MYS_PROP_4549_PRI_MA
proportion, 45-49, male, secondary|MYS_PROP_4549_SEC_MA
